利用日,利用店名・商品名,利用者,支払方法,利用金額,支払手数料,支払総額,支払月,9月支払金額,10月繰越残高,10月以降支払金額
2025/8/28,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,498,0,498,9月,498,0,
2025/8/28,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,4290,0,4290,9月,4290,0,
2025/8/28,ＪＣＢ国内利用　QP  ｷﾖｳﾀﾙ ﾆﾝｷﾞﾖｳﾁﾖｳ,本人,1回払い,930,0,930,9月,930,0,
2025/8/28,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,1357,0,1357,9月,1357,0,
2025/8/28,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,1230,0,1230,9月,1230,0,
2025/8/27,ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ,本人,1回払い,818,0,818,9月,818,0,
2025/8/26,ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ,本人,1回払い,590,0,590,9月,590,0,
2025/8/26,ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ,本人,1回払い,430,0,430,9月,430,0,
2025/8/26,ＪＣＢ国内利用　QP  ｺｺｽ,本人,1回払い,5181,0,5181,9月,5181,0,
2025/8/26,ＪＣＢ国内利用　QP  ﾆﾂﾎﾟﾝﾕｳﾋﾞﾝ,本人,1回払い,1080,0,1080,9月,1080,0,
2025/8/25,ＪＣＢ国内利用　QP  ｵ-ｹ- ﾆﾎﾝﾊﾞｼﾋｻﾏﾂﾁ,本人,1回払い,614,0,614,9月,614,0,
2025/8/25,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,3289,0,3289,9月,3289,0,
2025/8/25,ＪＣＢ国内利用　QP  ﾆﾂﾎﾟﾝﾕｳﾋﾞﾝ,本人,1回払い,140,0,140,9月,140,0,
2025/8/25,ＪＣＢ国内利用　QP  ﾏｲﾊﾞｽｹﾂﾄ,本人,1回払い,623,0,623,9月,623,0,
2025/8/24,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,1180,0,1180,9月,1180,0,
2025/8/24,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,6680,0,6680,9月,6680,0,
2025/8/24,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,2336,0,2336,9月,2336,0,
2025/8/24,ＪＣＢ国内利用　QP  ｷﾔﾝﾄﾞｳ,本人,1回払い,885,0,885,9月,885,0,
2025/8/24,ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ,本人,1回払い,676,0,676,9月,676,0,
2025/8/24,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,117,0,117,9月,117,0,
2025/8/24,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,104,0,104,9月,104,0,
2025/8/24,ＪＣＢ国内利用　QP  ｻﾝﾄﾞﾗﾂｸﾞ,本人,1回払い,3189,0,3189,9月,3189,0,
2025/8/24,ＪＣＢ国内利用　QP  ｻｶｶﾞﾐｺﾏｺﾞﾒﾃﾝ,本人,1回払い,2057,0,2057,9月,2057,0,
2025/8/23,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,9816,0,9816,9月,9816,0,
2025/8/23,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,5399,0,5399,9月,5399,0,
2025/8/23,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,2978,0,2978,9月,2978,0,
2025/8/23,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,3120,0,3120,9月,3120,0,
2025/8/23,ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ,本人,1回払い,183,0,183,9月,183,0,
2025/8/21,ＪＣＢ国内利用　QP  ﾊﾟﾊﾟｽﾆﾎﾝﾊﾞｼﾊﾏﾁﾖｳ,本人,1回払い,965,0,965,9月,965,0,
2025/8/21,ＪＣＢ国内利用　QP  ｽﾊﾟｲｽﾐｸｽ,本人,1回払い,950,0,950,9月,950,0,
2025/8/21,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,716,0,716,9月,716,0,
2025/8/20,ＪＣＢ国内利用　QP  ﾏｲﾊﾞｽｹﾂﾄ,本人,1回払い,473,0,473,9月,473,0,
2025/8/20,ＪＣＢ国内利用　QP  ｻｶｶﾞﾐｺﾏｺﾞﾒﾃﾝ,本人,1回払い,1369,0,1369,9月,1369,0,
2025/8/19,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,1661,0,1661,9月,1661,0,
2025/8/18,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,20766,0,20766,9月,20766,0,
2025/8/18,ＪＣＢ国内利用　QP  ｾｲﾕｳ,本人,1回払い,2338,0,2338,9月,2338,0,
2025/8/17,ＶＩＳＡ国内利用　VS ｻ-ﾃｲﾜﾝｱｲｽｸﾘ-ﾑ,本人,1回払い,1230,0,1230,9月,1230,0,
2025/8/17,ＶＩＳＡ国内利用　VS ﾗｺﾏ-ﾄ ｺﾏｺﾞﾒﾃﾝ,本人,1回払い,3075,0,3075,9月,3075,0,
2025/8/14,ファミリーマート　ｺﾏｺﾞﾒﾛｸﾁﾖｳﾒ,本人,1回払い,2132,0,2132,9月,2132,0,
2025/8/13,ＶＩＳＡ国内利用　VS ｻｶｶﾞﾐ ｺﾏｺﾞﾒﾃﾝ,本人,1回払い,2949,0,2949,9月,2949,0,
2025/8/13,ＶＩＳＡ国内利用　VS ｻﾝﾄﾞﾗﾂｸﾞ,本人,1回払い,2688,0,2688,9月,2688,0,
2025/8/13,ＶＩＳＡ国内利用　VS ｷﾔﾝﾄﾞｳｺﾏｺﾞﾒﾃﾝ,本人,1回払い,110,0,110,9月,110,0,
2025/8/12,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,2945,0,2945,9月,2945,0,
2025/8/12,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,2945,0,2945,9月,2945,0,
2025/8/12,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,2533,0,2533,9月,2533,0,
2025/8/12,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,5999,0,5999,9月,5999,0,
2025/8/11,ニトリネット,本人,1回払い,47938,0,47938,9月,47938,0,
2025/8/11,スギ薬局駒込店,本人,1回払い,1696,0,1696,9月,1696,0,
2025/8/11,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,16560,0,16560,9月,16560,0,
2025/8/11,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,13735,0,13735,9月,13735,0,
2025/8/11,ＶＩＳＡ国内利用　VS AMAZON.CO.JP,本人,1回払い,4268,0,4268,9月,4268,0,
2025/8/11,ＶＩＳＡ国内利用　VS ｻｲｾﾞﾘﾔ/NFC,本人,1回払い,2780,0,2780,9月,2780,0,
2025/8/11,ＶＩＳＡ国内利用　VS ﾏｸﾄﾞﾅﾙﾄﾞ,本人,1回払い,1660,0,1660,9月,1660,0,
2025/8/11,ＶＩＳＡ国内利用　VS ｷﾔﾝﾄﾞｳｺﾏｺﾞﾒﾃﾝ,本人,1回払い,1210,0,1210,9月,1210,0,
2025/8/11,ＶＩＳＡ国内利用　VS ｻﾝﾄﾞﾗﾂｸﾞ,本人,1回払い,555,0,555,9月,555,0,
